Country,LAW,"Reproduction + Sharing (all users, all works, some still prohibit commercial uses) (GREEN)","Reproduction, no User Restriction (no sharing) (may be limited to non-commercial) BLUE","Private / Non-commercial + Individual Reproduction Whole Works (Non-commercial, individual, no sharing) (LIGHT BLUE)","Restrictions on User: Institutional Right to Make Research Copies of Full Works
[PURPLE]","Limitations on works, e.g. not whole books, limited to types of works (Orange)",TDM Restricted (Excerpts only) (RED)
Afghanistan,"Law Supporting the Rights of Authors, Composers, Artists and Researchers, 2008 (Decree of President of Government of Islamic Republic of Afghanistan regarding signing The Law on the support the right of authors, composers, artists and researchers n. 54, 2008), https://www.wipo.int/edocs/lexdocs/laws/en/af/af001en.pdf",,"Art 40. (2) Copying and replication of a Work for the purpose of using it, is lawful under the
following conditions:
1. If the user does not make direct or indirect commercial gains. 
",,,,
Albania,"Law on Copyright and Related Rights, 2016 (Law No. 35/2016 of March 31, 2016) (Alb.), https://wipolex.wipo.int/en/text/490548",,,,"Article 75. Restrictions on the Benefit of Special Institutions (Library Copies)
Public archives, national libraries, educational and scientific institutions, preschool educational institutions and social institutions (charity ones), that have no direct or indirect economic benefits, may reproduce the work from their copy for internal use, by any means, in no more than one copy.
",,
Algeria,"Ordinance No. 03-05 of 19 Joumada El Oula 1424 corresponding to July 19, 2003, on Copyright and Related Rights https://wipolex.wipo.int/en/text/553559",,,,,"Art 41. One copy of the work can be reproduced, translated, quoted or converted for personal or family purposes without prejudicing the provisions of Article 25 of this law. An exception of the provisions of the first clause herein is the reproduction of architectural works embodied in buildings or similar forms, the written reproduction of a whole book, the reproduction of a musical work in a written form, the reproduction of a database in a digital form and the reproduction of computer software other than the cases stipulated for in Article 52 herein.",
Andean Decision,,,,"Article 3. (Definitions: Private use) 
For the purposes of this Decision:
....
¨personal use¨ means the reproduction or other use of the work of another person, in a single copy, exclusively for an individual’s own purposes, in cases such as research and personal entertainment.
",,,
Andorra,"Law No. 23/2011, of December 29, 2011, on the Creation of the Society of Collective Management of Copyright and Neighboring Rights of the Principality of Andorra https://wipolex.wipo.int/en/text/363803 (Catalan version only)",,,,,"""Article 7
Private reproduction for purposes personal
1. Private reproduction in one copy of a published work in which it has been published legally accessed, in which the reproduction is carried out by a natural person exclusively for your own private use and personal, including such use within the circle normal of his family and his social knowledge, is allowed without the permission of the author or anyone else copyright owner of the work.
2. The permit referred to in section 1)
This article does not cover the following:
(a) an architectural work in the form of a building or any other construction;
b) when the reproduction is a reprographic reproduction of an entire book, or a substantial part of it, or of a musical work in graphic form;
c) except a computer program in the provisions of Articles 12 and 13;
d) an electronic database, except as provided in the article 14;
e) of any work in cases where playback may conflict with the normal operation of the work or otherwise cause unjustified harm to legitimate interests of the author or any other owner copyright of the work.""",
Angola,"Copyright Law, 2014 (Lei n.°15/14 de 31 de julho de 2014, dos Direitos de Autor e Conexos) (Angl.), https://wipolex.wipo.int/en/text/503105",,,,,"Art. 51. They are allowed, regardless of authorization of author and without any remuneration, the following use of works already legally disclosed, provided that the title and the author's name are mentioned and respected its genuineness and integrity:... d) Reproduction, translation, adaptation, arrangement or any other transformation for exclusive use individual and private;
2. The private reproduction referred to in subparagraphs d) of this article does not apply in the following cases:
a) The reproduction of architectural works covering the form of buildings or other similar constructions;
b) A reproduction reprographic of an entire book or of a musical work in graphical form (scores);
c) A reproduction of all or important parts of databases in digital form;
d) The reproduction of computer programs, in terms of this Law;
e) No other reproduction of a work that affects the normal operation of the work or cause damage unjustified to the author's legitimate interests.
",
Antigua and Barbuda,Copyright Act 2003 https://wipolex.wipo.int/en/text/180198,,,,,"Article 52 .General Exceptions. Research and Private Study
Subject to section 54, fair dealing with a literary, dramatic, private study, musical or artistic work for the purposes of research or private study does not infringe copyright in the work or in the case of a published edition, in the typographical arrangement.

",
Argentina,"Law No. 11.723 of September 28, 1933, on Legal Intellectual Property Regime (Copyright Law, as amended up to Law No. 25.036 of October 14, 1998) https://wipolex.wipo.int/en/text/124710",,,,,,"Article 10. Any person may publish, for didactic or scientific purposes, comments, criticisms or notes referring to intellectual works, including up to 1,000 words for literary or scientific works, or eight bars in musical works and, in all cases, only the parts of the text essential for that purpose.
This provision shall cover educational and teaching works, collections, anthologies and other similar works.
Where inclusions from works by other people are the main part of the new work, the courts may fix, on an equitable basis and in summary judgment, the proportional amount to which holders of the rights in the works included are entitled. 

"
Armenia,"Law of the Republic of Armenia on Copyright and Related Rights, 2006 (as amended on April 13, 2013), https://www.wipo.int/edocs/lexdocs/laws/en/am/am031en.pdf
",,,,,"Art. 23. The reproduction of a work lawfully made public shall be permitted without the consent of the author and without remuneration exclusively for private, non-commercial use, which does not prejudice the legitimate interests of the author.
This provision shall not apply to the reproduction of constructions and architectural works of similar structure, machine-readable databases or their substantial parts, computer programs, as well as to the reproduction of whole books and graphic editions of musical works, unless otherwise provided by this Law.",
Aruba ,10.07GT03.010 Copyright Regulation https://www.government.aw/governance-administration/law-texts-1007-industriele-en-intellectuele-eigendom_45045/item/1007gt03010-auteursverordening_21758.html (Dutch version only),,,,,"Article 17
1. As an infringement of copyright in a literary work, science or art is not considered reproduction that is limited to a few copies and is exclusively for personal practice, study or use, and that where it applies a work as intended by Article 10, first paragraph, under f, by its size or by the method according to which it is manufactured, a clear difference shows with the original work.
2. The first paragraph does not apply with regard to the reconstruction of structures.",
